header,description,platforms
ProcessRollup2,"This event (often called ""PR2"" for short) is generated for a process that is running or has finished running on a host and contains information about that process. For every ProcessRollup2 event, there is a corresponding event that is generated when a process completes. The name of this event is EndOfProcess for Windows and Mac and TerminateProcess for Linux. Important: This event is generated on Windows, Mac, and Linux sensors. However, because of the way Mac and Linux manage processes at the kernel level, the Falcon sensors for these platforms are configured to send ProcessRollup2information in a second event called ProcessRollup2Stats. For more information, see ProcessRollup2Stats. This event (often called ""PR2"" for short) is generated for a process that is running or has finished running on a host and contains information about that process. For every ProcessRollup2 event, there is a corresponding event that is generated when a process completes. The name of this event is EndOfProcess for Windows and Mac and TerminateProcess for Linux. Important: This event is generated on Windows, Mac, and Linux sensors. However, because of the way Mac and Linux manage processes at the kernel level, the Falcon sensors for these platforms are configured to send ProcessRollup2information in a second event called ProcessRollup2Stats. For more information, see ProcessRollup2Stats. Understanding TargetProcessId Every ProcessRollup2 event contains a field called TargetProcessId. This ID is generated internally by the sensor, and will be unique for every instance of a process. For example, if you run cmd.exe twice, you will see two different ProcessRollup2 events with two unique values for TargetProcessId. This ID should not be confused with the host operating system PID for the process, which will be a different value. Processes often generate multiple, if not dozens of related events. For example, opening a browser or running an executable can generate network connectivity events, temporary file write events, DNS request events, etc. We therefore need a way to understand the parent-child relationship between processes and the events they generate. Understanding ContextProcessId Every event that is generated by a ProcessRollup2 contains a data field called ContextProcessId. The ContextProcessId will match the TargetProcessId of its parent ProcessRollup2 event. In the example below, the ContextProcessId values indicate that each of the events are children of the parent ProcessRollup2events. By searching for events that have matching values for ContextProcessId and TargetProcessId, you can see a list of all events that were generated as a result of a ProcessRollup2 event. Understanding ParentProcessId As previously mentioned, every process that executes on a host has a corresponding ProcessRollup2 event. This means that when a process spawns another process, a brand new ProcessRollup2 event will be generated for that new ProcessRollup2event. This new event will contain a field called ParentProcessId. The ParentProcessId of the child PR2 will match the TargetProcessId of the parent PR2, as shown below : By searching for events that have matching values for ParentProcessId and TargetProcessId, you can determine the parent-child relationship of multiple ProcessRollup2 events. This event (often called ""PR2"" for short) is generated for a process that is running or has finished running on a host and contains information about that process. For every ProcessRollup2 event, there is a corresponding event that is generated when a process completes. The name of this event is EndOfProcess for Windows and Mac and TerminateProcess for Linux. Important: This event is generated on Windows, Mac, and Linux sensors. However, because of the way Mac and Linux manage processes at the kernel level, the Falcon sensors for these platforms are configured to send ProcessRollup2information in a second event called ProcessRollup2Stats. For more information, see ProcessRollup2Stats. Understanding TargetProcessId Every ProcessRollup2 event contains a field called TargetProcessId. This ID is generated internally by the sensor, and will be unique for every instance of a process. For example, if you run cmd.exe twice, you will see two different ProcessRollup2 events with two unique values for TargetProcessId. This ID should not be confused with the host operating system PID for the process, which will be a different value. Processes often generate multiple, if not dozens of related events. For example, opening a browser or running an executable can generate network connectivity events, temporary file write events, DNS request events. We therefore need a way to understand the parent-child relationship between processes and the events they generate. Understanding ContextProcessId Every event that is generated by a ProcessRollup2 contains a data field called ContextProcessId. The ContextProcessId will match the TargetProcessId of its parent ProcessRollup2 event. In the example below, the ContextProcessId values indicate that each of the events are children of the parent ProcessRollup2events. By searching for events that have matching values for ContextProcessId and TargetProcessId, you can see a list of all events that were generated as a result of a ProcessRollup2 event. Understanding ParentProcessId As previously mentioned, every process that executes on a host has a corresponding ProcessRollup2 event. This means that when a process spawns another process, a brand new ProcessRollup2 event will be generated for that new ProcessRollup2event. This new event will contain a field called ParentProcessId. The ParentProcessId of the child PR2 will match the TargetProcessId of the parent PR2, as shown below : By searching for events that have matching values for ParentProcessId and TargetProcessId, you can determine the parent-child relationship of multiple ProcessRollup2 events. Fields: Android","Android, Linux, Falcon Container, ChromeOS, Forensics, Windows Legacy, macOS, Windows"
ReflectiveDllLoaded,An event that indicates that a user space thread reflectively loaded DLL.,"Windows, Windows"
ProtectVmEtw,A virtual memory protect event generated from ETW data.,Windows
ProcessWitness,"Emitted when the sensor witnesses a process is running. This event is not an indication that a process just started, only that the process was first seen running when the event was sent. It is used for iOS where there is no way to be notified of processes start or running, or to query about running processes, and the sensor only knows a process exists when it makes a network connection. This event is therefore different from PR2s or SynPR2s.",iOS
ClipboardPaste,Sent when content is pasted from the clipboard. Fields: Android,Android
AndroidIntentSentIPC,This event is sent when an Android Intent is fired from the container Fields: Android,Android
MobileOsIntegrityStatus,Describes the integrity of the mobile OS (eg. jailbroken/rooted),"iOS, Android"
JarFileWritten,This event is generated when a Java executable archive (.jar) file type is written to disk. Fields: Android,"Android, Windows, macOS, Linux"
RegGenericValueUpdate,An event that indicates that a registry value has been updated.,Windows
ScreenshotTakenEtw,An event that indicates that partial or full screenshot has been taken. Captured using the ETW consumer.,Windows
SetWinEventHookEtw,An event that indicates that an application called the SetWinEventHook API. Captured using the ETW consumer.,Windows
RegSystemConfigValueUpdate,An event that indicates that a registry value related to system configuration or security has been updated.,Windows
SetThreadCtxEtw,,Windows
RegisterRawInputDevicesEtw,An event that indicates that an application called the RegisterRawInputDevices API. Captured using the ETW consumer.,Windows
QueueApcEtw,,Windows
SmbClientNamedPipeConnectEtw,An event that indicates when a machine connects to a remote SMB (Server Message Block) named pipe. The event contains the pattern id of the associated indicator and is supported on all Windows platform except 8.1 and Server 2012 R2. Captured using the ETW consumer.,"Windows, Windows"
ProcessExecOnSMBFile,An event that contains telemetry data emitted on execution of a PE file which was written by SMB.,Windows
TokenImpersonated,An event that contains detailed before and after impersonation information for detection telemetry.,Windows
SetWindowsHookExEtw,An event that indicates that an application called SetWinEventHookEx API. Captured using the ETW consumer.,Windows
WmiProviderRegistrationEtw,An event that is emitted when a WMI (Windows Management Instrumentation) provider gets registered. Captured using the ETW consumer.,Windows
MobileDetection,"An event that's sent by the sensor when a sensor-level detection occurs. Fields: Android, iOS","Android, iOS"
DexFileWritten,Emitted when a file has been written that contains a real Dex image header. Fields: Android,Android
DeveloperOptionsStatus,"An event that contains info about developer-related settings on the device. Fields: Android, iOS","Android, iOS"
SELinuxStatus,An event that contains info about the SELinus status. Fields: Android,Android
StorageEncryptionStatus,An event that contains information about the Device Storage encryption. Fields: Android,Android
LockScreenStatus,"An event that contains info about the device lock screen mechanism. Fields: Android, iOS","Android, iOS"
SystemPartitionStatus,An event that contains information about the device system partition. This event is deprecated as of Android sensor version 2021.09.3060002. Fields: Android,Android
SafetyNetCompatibilityStatus,An event that contains the SafetyNet compatibility status obtained via the Google SafetyNet API. Fields: Android,Android
DnsRequestResult,"An event that contains DNS request results after a DNS request. Fields: Android, iOS","Android, iOS"
FileSystemAttributesStatus,An event that contains info about the Filesystem attributes of the device.,iOS
DebuggableFlagTurnedOn,An event that indicates a debuggable flag has been turned on for a non-dev build of an app. Fields: Android,Android
BootLoaderStatus,An event that contains info about the device's bootloader. Fields: Android,Android
HarmfulAppData,"An event that contains the name, hash, and category of the harmful app. Fields: Android",Android
DuplicateInstallFromPlayStore,An event that indicates a containerized app is also installed outside the container. Fields: Android,"Android, Windows"
ScriptControlScanInfo,,"Windows, macOS, Linux"
ObjCRuntimeAltered,"An event that indicates an Obj-C method has been tampered with. MethodSignature indicates which Obj-C method has been tampered with. ImageFileName contains the path to the image containing the new, swizzled, implementation of the method. ExpectedImageFileName contains the path where it was expected. SuspectAddress contains the load address of ImageFileName. ExpectedAddress contains the load address of ExpectedImageFileName.",iOS
UnexpectedDynamicLibraryLoaded,An event that indicates that an unexpected dynamic library was loaded at runtime.,iOS
UnexpectedFileFound,An event that indicates a file that should not exist on the device has been found. An event that indicates a file that should not exist on the device has been found.,"iOS, Android"
TrampolineDetected,"An event that indicates a C function has been tampered with. In iOS jailbreak, functions are modified by adding an unconditional trampoline in the first 4 words. FunctionName contains the function that has been determined to have been tampered with, ImageFileName contains the path to the image where the trampoline jumps to, and ExecutableBytes contains the first 4 words of the tampered-with function where the trampoline was detected.",iOS
CertificatePinningCompromised,"An event that indicates that the certificate pinning methods/functions on the device have been tampered with and cannot be trusted. For further details, see the following associated events: ObjCRuntimeAltered or TrampolineDetected.",iOS
ProcessTokenStolen,An event that describes a process token stealing detection. ContextProcessId has been detected stealing the token of TargetProcessId.,Windows
DebuggedState,"An event that indicates a process is in the state of being debugged (i.e., has a debugger attached to it.)",iOS
PathUnexpectedlyReadable,"An event that indicates a system file or directory can be opened for reading. On a non-jailbroken system, this should not be possible.",iOS
UnexpectedEnvironmentVariable,An event that indicates some dangerous environment variables have made it to the app at runtime.,iOS
CodeSigningAltered,An event that indicates the code signing flags of the current application have unexpected flags or are missing expected ones.,iOS
SafetyNetCheckFailed,An event that indicates the SafetyNet check could not be completed. Fields: Android,Android
SystemPartitionAltered,An event that indicates a system partition has been altered and is in an unexpected state.,iOS
InstallFromUnknownSourcesStatus,An event that contains info about third-party app installers on Android. Fields: Android,Android
RemoteBruteForceDetectInfo,An event that describes a remote brute force detection.,Windows
SensitiveWmiQuery,An event that indicates that a client process executed a sensitive WMI query.,Windows
DCSyncAttempted,"Directory Services changes were replicated. If the source host is not a Domain Controller, this could represent malicious activity.",Windows
RemediationMonitorRegistryRemoval,Notification of a registry persistence removal remediation action that would have been attempted by the sensor but wasn't because the remediation was in monitor mode.,Windows
ThreadBlocked,Reports the status of a block thread attempt.,Windows
VerifyAppsDisabled,This event has been deprecated. Fields: Android,Android
DNSRequestDetectInfo,"This event is sent whenever a malicious DnsRequest is detected. Fields: Android, iOS","Android, iOS, Linux"
DnsRequestBlocked,"This event is sent whenever a DnsRequest is blocked. Connection to either the IP or the domain in this request has been blocked. Fields: Android, iOS","Android, iOS"
UserSetProcessBreakOnTermination,,Windows
SuspiciousPrivilegedProcessHandle,Indicates a process has opened a handle to a privileged process with special access rights.,Windows
FileWrittenAndExecutedInContainer,A file was written and later executed in a container.,"Linux, Falcon Container"
DwmCompositionResourceExploitAttempt,,Windows
GenericFileWritten,An event that is emitted when a process is done writing to a file that doesn't match a more specific *FileWritten event. These events are currently generated for removable disks only. An event that is emitted when a process is done writing to a file that doesn't match a more specific *FileWritten event. These events are currently generated for removable disks only.,"macOS, Windows"
RemediationMonitorScheduledTaskRemoval,Notification of a scheduled task persistence removal remediation action that would have been attempted by the sensor but wasn't because the remediation was in monitor mode.,Windows
ReflectiveDotnetModuleLoad,Event generated when .NET module is reflectively (e.g. from a byte array) loaded in a process.,Windows
HookedAndroidMethodFound,An event that indicates that a hooking framework such as Xposed has been found to have been loaded by the FalconMobile application. The FalconMobile application might have been compromised and the device might have been rooted. Fields: Android,Android
SuspiciousAndroidStackTraceElementFound,An event that indicates that a hooking framework has been found via stacktrace analysis and that the FalconMobile application might have been compromised. Fields: Android,Android
SuspiciousAndroidActivityFound,An event that indicates that a currently installed application on the device has been found providing a suspicious Android Activity. Fields: Android,Android
SuspiciousAndroidSystemPropertyFound,An event that indicates that a suspicious system property has been found. This might indicate the OS Integrity has been tampered with which might mean the device has been rooted. Fields: Android,Android
SuspiciousAppFound,An event that indicates that a suspicious application has been found to be installed on the device. Fields: Android,Android
SuspiciousAndroidLogcatMessageFound,An event that indicates that an application log message originating from a suspicious source has been found indicating the FalconMobile application might have been compromised and the device might have been rooted. Fields: Android,Android
NtfsQueryEaExploitAttempt,,Windows
NewExecutableWritten,"This event is generated when an executable file extension is written, whether or not it is truly an executable file type. Any file that ends with a known executable file extension (e.g. .exe, .bat, .scr) will generate this event. The difference between a NewExecutableWritten event and PeFileWritten is that NewExecutableWritten looks for the extension of a file written, while PEFileWritten looks for the PE header in a file that was written.","Linux, macOS, Windows"
RemediationMonitorServiceRemoval,Notification of a service persistence removal remediation action that would have been attempted by the sensor but wasn't because the remediation was in monitor mode.,Windows
AndroidInitServiceRemoved,An event that indicates that an init (boot) service has been removed from the system configuration. This might indicate the OS Integrity has been tampered with which might mean the device has been rooted. Fields: Android,Android
AndroidInitServiceAdded,An event that indicates that a new init (boot) service has been added to the system configuration. This might indicate the OS Integrity has been tampered with which might mean the device has been rooted. Fields: Android,Android
SystemUpdatesBlockedByDNS,Indicates that OS updates have been blocked via DNS.,iOS
SystemUpdatesBlockedByHTTP,Indicates that OS updates have been blocked via HTTP.,iOS
SystemUpdatesBlockedByFilesystem,Indicates that OS updates have been blocked via the filesystem.,iOS
ProcessExecOnRDPFile,A PE file was written and executed from an RDP session.,Windows
SafetyNetVerifyAppsStatus,An event that contains information about the status of SafetyNet Verify Apps (Google Play Protect) on the device. Fields: Android,Android
MemoryProtectionUpdated,Triggers if a new executable memory region is mapped which is writable or mapped from a file.,"Linux, Falcon Container"
NamespaceChanged,,"Linux, Falcon Container"
ProcessSessionCreated,,"Linux, Falcon Container"
FileSetMode,Indicates the file permissions have been modified via chmod/fchmod/fchmodat.,"Linux, Falcon Container"
BMLFeatureData,,"Windows, macOS, Linux, Falcon Container"
HostTimeModified,,"Linux, Falcon Container"
KernelServiceStarted,Indicated that a kernel service was started locally or remotely.,Windows
RootkitDetectionResponse,,Windows
MbrOverwriteRawDetectInfo,,Windows
RegCredAccessDetectInfo,,Windows
SourceCodeFileWritten,,"Windows, macOS"
ArchiveFileContent,,"Windows, macOS"
UnixFileWritten,Fields: Android,Android
ScheduledTaskTamperingRegistryOperation,,Windows
ScriptFileWrittenInfo,,Windows
SmtpEmailMessage,,Windows
SessionPatternTelemetry,,"Linux, macOS"
PacketFilterAttached,,"Linux, Windows, Linux"
FileStatFsInfo,,Linux
UnixName,,Linux
Pop3Command,,"Windows, Linux"
ThreadPreviousModeMismatch,,Windows
SigningIdentity,,iOS
ProcessTokenPrivilegesEdited,,Windows
SensorTampering,Thrown when a tampering event occurs on the sensor.,"Linux, Android"
MobileOsForensicsReport,,"iOS, Android"
IntrusivePackageDiscovered,Fields: Android,Android
IntrusiveProcessDiscovered,,iOS
MotwWritten,,Windows
SignInfoWithContext,Sent by SignInfoActor as a response to the SignInfoRequestWithContext sent by the cloud. It contains information about the signing-state of an image.,"Windows, macOS"
SuspiciousCredentialModuleLoad,"An indicator event fired when suspicious credential module activity is detected, which means the process opened a handle to the LSASS process and loaded one of its DLLs for symbolic resolution of protected LSASS resources. The name of the DLL that was loaded is in the ImageFileName field This event also contains data from the offending application, whose name is stored in TargetFileName",Windows
SignInfoWithCertAndContext,Sent by SignInfoActor as a response to the SignInfoRequestWithContext sent by the cloud. It contains information about the signing-state of an image.,"macOS, Windows"
InjectedThreadFromUnsignedModule,This event contains information about a thread that was injected into a process from an unsigned module. It combines relevant information from the InjectedThread and SignInfoWithCertAndContext events.,Windows
SuspiciousRawDiskReadFromUnsignedModule,This event contains information about an unsigned module reading a target file using raw disk access. It combines relevant information from the SuspiciousRawDiskRead and SignInfoWithCertAndContext events.,Windows
FileIntegrityMonitorRuleMatched,"An event that contains data about a change to a directory, file, or registry key. Used with the FileVantage service.","macOS, Windows, Linux"
MacroContentInfo,Description: Provides information about a macro extracted when an Office file is written or opened,Windows
SensorSettingsUpdate,,"Windows, macOS"
IdpConnectionsOverloadNotification,"IDP Traffic Inspection detected more than 15,000 concurrent connections in active enforcement mode.",Windows
ProcessTreeCompositionPatternTelemetry,,Windows
K8SAdmissionReviewResult,Fields: Kubernetes,Kubernetes
K8SAdmissionReviewResultPrime,Fields: Public Cloud,Public Cloud
RemoteCommandResponse,,"Linux, Windows, macOS"
ProcessRollup2Stats,"Important: This event is generated on Mac and Linux Sensors only. The Falcon sensor for Windows only generates ProcessRollup2 events. When a process finishes running, the sensor generates and sends a ProcessRollup2 event. Linux sensors send far more ProcessRollup2 events than Windows (roughly 20x as many), so rather than send events for every process on those hosts, the sensor sends an initial ProcessRollup2 event, followed 60 minutes later by a ProcessRollup2Stats event with a SHA256 hash and the count of how many times the hash executed in the last 60 minutes. Important: This event is generated on Mac and Linux Sensors only. The Falcon sensor for Windows only generates ProcessRollup2 events. When a process finishes running, the sensor generates and sends a ProcessRollup2 event. Mac sensors send far more ProcessRollup2 events than Windows (roughly 20x as many), so rather than send events for every process on those hosts, the sensor sends an initial ProcessRollup2 event, followed 10 minutes later by a ProcessRollup2Stats event with a SHA256 hash and the count of how many times the hash executed in the last 10 minutes.","Linux, Falcon Container, macOS"
SuspiciousLackOfProcessRollupEvents,This event is emitted if we don't see any ProcessRollup2 events for a long time.,Windows
AgentConnect,This event is generated when the sensor successfully connects to the cloud.,"Windows Legacy, Windows, Linux, Falcon Container, Kubernetes, macOS, Android, iOS, Windows Legacy, Vmcluster, iOS, Linux, Falcon Container, Android, Kubernetes, macOS, Windows"
IsoExtensionFileWritten,,Windows
ImgExtensionFileWritten,,Windows
DcBluetoothDeviceConnectedDetails,,"Windows, macOS"
FirmwareImageAnalyzed,Indicates that analysis of a firmware image was completed.,"Windows, macOS"
DirectoryTraversalOverSMB,This event indicates Directory traversal over an SMB session detected.,Windows
CrashNotification,The sensor sends this to the cloud when the Diagnostics Actor notices that the machine has booted with indication of previous session ending in a crash.,"macOS, Windows"
OciContainerComplianceInfo,,"Linux, Falcon Container"
IdpDcPerfReport,This event reports Domain Controller performance counter.,Windows
FileRenameInfo,This event is generated when a file is renamed. Only sent as part of a detection.,"Linux, Falcon Container, macOS, Windows"
SensorSelfDiagnosticTelemetry,,"Windows, Linux, macOS"
SpotlightEntityBatch,Single Event consisting of a list of Spotlight Entity State data packaged for optimal size and part of a larger set of batch events that will be processed in Cloud.,"Linux, Windows, macOS"
CustomIOADomainNameDetectionInfoEvent,An event triggered by a Domain Name custom IOA rule.,"Windows, macOS, Linux"
CustomIOAFileWrittenDetectionInfoEvent,An event triggered by a File Creation custom IOA rule.,"Windows, macOS, Linux"
CustomIOABasicProcessDetectionInfoEvent,An event triggered by a Process Creation custom IOA rule.,"Windows, Linux, Falcon Container, macOS"
CustomIOANetworkConnectionDetectionInfoEvent,An event triggered by a Network Connection custom IOA rule.,"Windows, macOS, Linux"
RegistryOperationBlocked,An event that indicates that a registry operation has been blocked using a callback filter.,Windows
RegistryOperationDetectInfo,An event that describes a registry operation blocked using a callback filter.,Windows
MacroDetectInfo,Event description: Provides more context around the macro content that was detected.,Windows
UmppcDetectInfo,An event that describes a UMPPC-based detection.,Windows
SnapshotVolumeMounted,Information about a snapshot volume that was just mounted.,Windows
ImpersonationTokenInfo,"ImpersonationTokenInfo represents a security context for a general impersonation activity. Each ImpersonationTokenInfo can be linked to a corresponding UserIdentity by using the (UserSid, AuthenticationId) tuple.",Windows
UserIdentity,"The UserIdentity event is generated when a user logs in to a host. It conveys important security-related characteristics associated with a user to the CrowdStrike cloud, such as the user name. It’s normally generated once per security principal, and is thus not on its own a sign of a suspicious activity.","macOS, Windows, Forensics, Linux"
DriverLoad,An event to notify of a driver load that will be used for detection. Fields: Forensics,"Forensics, Windows"
UserAccountDeleted,"User account deleted. This event is generated when a user account is deleted. The data will indicate the initial process (command-line tool, custom utility, or GUI application) or remote address/hostname that resulted in this action. Fields: Forensics","Forensics, Windows, Linux"
ProcessTrace,,"Linux, Falcon Container"
InstanceMetadata,Metadata information about the instance on which the sensor is running.,"macOS, Kubernetes, Windows, Linux, Falcon Container"
FileAccessOperationOverSMB,File access operations over a SMB user session.,Windows
K8SSnapshot,Fields: Kubernetes,Kubernetes
K8SWatchStarted,Fields: Kubernetes,Kubernetes
K8SResource,Fields: Kubernetes,Kubernetes
K8SWatchStopped,Fields: Kubernetes,Kubernetes
IdpEntityRiskScoreChange,Fields: Public Cloud,Public Cloud
HostedServiceStarted,"This event is emitted when a hosted service (that is, a service inside a SvcHost.exe binary) is started by the service control manager (SCM). ServiceDisplayName, TargetProcessId, ImageFileName and TargetThreadId are all for the new service. TargetThreadId is the primary thread of the new hosted service. The data will indicate the initial process (command-line tool, custom utility, or GUI application) or remote address/hostname that resulted in this action. Also, starting and stopping hosted services multiple times during boot might not always show up in this event due to caching done by the SCM.",Windows
NetShareAdd,This event is generated when a network share is added or modified on a host.,Windows
UserAccountCreated,"This event is generated when a new user account is created. The data will indicate the initial process (command-line tool, custom utility, or GUI application) or remote address/hostname that resulted in this action.","Windows, Linux"
ServiceStarted,"This event is generated when a standalone service is started by the service control manager (SCM). ServiceDisplayName, TargetProcessId, ImageFileName and CommandLine are all for the new service. The data will indicate the initial process (command- line tool, custom utility, or GUI application) or remote address/host name that resulted in this action.",Windows
ScheduledTaskDeleted,"This event is sent when Falcon has detected that a scheduled task has been removed from the machine. The data will indicate the initial process (command-line tool, custom utility, or GUI application) or remote address/hostname that resulted in this action. Note that the context here is not sufficient to determine full details on the task being removed (that is captured in ScheduledTaskRegistered), but does show the task name and originator info.",Windows
FirewallSetRule,"A firewall rule has been created or modified, such as a rule allowing inbound RDP connections. The data will indicate the initial process (command-line tool, custom utility, or GUI application) or remote address/hostname that resulted in this action.",Windows
FirewallDeleteRule,"A firewall rule has been deleted, such as removing a rule preventing inbound RDP connections. The data will indicate the initial process (command-line tool, custom utility, or GUI application) or remote address/hostname that resulted in this action.",Windows
FirewallChangeOption,"A firewall configuration option has been changed, such as enabling or disabling the firewall. The data will indicate the initial process (command-line tool, custom utility, or GUI application) or remote address/hostname that resulted in this action.",Windows
UserAccountAddedToGroup,"This event is generated when an existing user account is added to an existing group. The data will indicate the initial process (command-line tool, custom utility, or GUI application) or remote address/hostname that resulted in this action. The group RID will indicate which group this user was added to. Of interest, for example, is a user being added to the “Administrators” group.","Windows, Linux"
BITSJobCreated,The event is generated when a Background Intelligent Transfer Service (BITS) download is created and a new file is dropped on the system.,Windows
EventLogCleared,This event is generated when a Windows event log is cleared.,Windows
ScheduledTaskRegistered,"This event is sent when Falcon detects that a scheduled task has been added to the machine, either locally or remotely. This includes things added via the at command (at.exe) or scheduled tasks (schtasks.exe). The data will indicate the initial process (command-line tool, custom utility, or GUI application) or remote address/hostname that resulted in this action. This service has multiple versions over time from Windows 7 to Windows 10, so some fields may not be available in all versions. The raw TaskXml will always be available, which should be a superset of the other ‘Task’ fields.",Windows
NetShareDelete,This event is generated when a network share is removed from a host.,Windows
NetShareSecurityModify,This event is generated when the security descriptor of a network share is changed.,Windows
VolumeSnapshotCreated,A volume snapshot has been created.,Windows
VolumeSnapshotDeleted,A volume snapshot has been deleted.,Windows
VolumeSnapshotOperationBlocked,"Event describing a snapshot volume block operation. IFN and CL are based upon the RpcProcessId, in VSS operations only RPC tree is relevant.","Windows, Windows"
MemoryScanErrorEvent,,Windows
ServiceStopped,"This event is emitted when a standalone service is stopped by the service control manager (SCM). Unfortunately, the sensor is not currently capable of identifying who requested this operation. However, it can be used to confirm that this is a service stopping vs. a service crashing or being terminated.",Windows
SuspiciousPeFileWritten,A suspicious PE image file was written to disk.,Windows
PodInfo,Metadata associated with a Kubernetes pod.,"Linux, Falcon Container"
DmpFileWritten,Emitted when a process is done writing a dump file. PidFromCommandLine will be enhanced in some cases to extract out the pid from the commandline of the writing process if possible.,"Windows, macOS, Linux"
SevenZipFileWritten,This event is generated when a 7ZIP file type (.7zip) is written to disk.,"Windows, macOS, Linux"
PdfFileWritten,This event is generated when a PDF file type (.pdf) is written to disk.,"Windows, macOS, Linux"
OleFileWritten,This event is generated when a file a Microsoft Office (Pre-Office 2007) file type is written to disk.,"Windows, macOS, Linux"
RarFileWritten,Emitted when a process is done writing a RAR file.,"Windows, macOS, Linux"
OoxmlFileWritten,This event is generated when a Microsoft Office (Post-Office 2007) file type is written to disk.,"Windows, macOS, Linux"
ZipFileWritten,This event is generated when a ZIP file type (.zip) is written to disk.,"Windows, macOS, Linux"
RtfFileWritten,Emitted when a process is done writing an RTF file.,"Windows, macOS, Linux"
PeFileWritten,"This event is generated when a Windows Portable Executable file type is written to disk. The difference between a NewExecutableWritten event and PeFileWritten is that NewExecutableWritten looks for the extension of a file written, while PEFileWritten looks for the PE header in a file that was written.","macOS, Linux, Windows"
XarFileWritten,Emitted when a process is done writing a Xar file. macOS installer files are of this type.,"Windows, macOS, Linux"
BZip2FileWritten,Emitted when a process is done writing a BZip2 file.,"Windows, macOS, Linux"
MachOFileWritten,Emitted when a process is done writing a MachO file.,"Windows, macOS, Linux, Windows, macOS, Linux"
IdwFileWritten,Emitted when a process is done writing an IDW file.,Windows
DwgFileWritten,An event that is emitted when a process is done writing to a DWG file.,Windows
ELFFileWritten,Emitted when a file has been written that contains a real ELF image header.,"Windows, macOS, Android, Linux"
GzipFileWritten,Emitted when a file has been written that contains a real Gzip image header.,"Windows, macOS, Linux"
JavaClassFileWritten,Emitted when a process is done writing a Java Class file.,"Windows, macOS, Linux"
CabFileWritten,Emitted when a process is done writing a Microsoft Cabinet (CAB) file.,"macOS, Windows, Linux"
ArcFileWritten,Emitted when a process is done writing a ARC file.,"Windows, macOS, Linux"
TiffFileWritten,,"Windows, macOS, Linux"
ArjFileWritten,Emitted when a process is done writing a ARJ file.,"macOS, Windows, Linux"
VmdkFileWritten,,"Windows, macOS, Linux"
JpegFileWritten,Emitted when a process is done writing a Jpeg image file.,"Windows, macOS, Linux"
BmpFileWritten,Emitted when a process is done writing a BMP image file.,"Windows, macOS, Linux"
GifFileWritten,Emitted when a process is done writing a GIF image file.,"macOS, Windows, Linux"
PngFileWritten,,"macOS, Windows, Linux"
MSXlsxFileWritten,,"Windows, macOS, Linux"
MSPptxFileWritten,,"Windows, macOS, Linux"
VdiFileWritten,,"Windows, macOS, Linux"
MSDocxFileWritten,,"Windows, macOS, Linux"
MSVsdxFileWritten,,"macOS, Windows, Linux"
DxfFileWritten,,"Windows, Windows"
RpmFileWritten,,"Windows, macOS, Linux"
DebFileWritten,,"Windows, macOS, Linux"
BlfFileWritten,Emitted when a process is done writing an BLF file.,"macOS, Windows, Linux"
MsiFileWritten,,"Windows, macOS, Linux"
LnkFileWritten,,"Windows, macOS, Linux"
DmgFileWritten,,"Windows, macOS, Linux"
EmailFileWritten,,"Windows, macOS, Linux"
EmailArchiveFileWritten,,macOS
EseFileWritten,,"macOS, Windows, Linux"
RegistryHiveFileWritten,,Windows
ADExplorerFileWritten,,Windows
WebScriptFileWritten,,"Windows, macOS, Linux"
CrxFileWritten,,"Windows, macOS, Linux"
PythonFileWritten,,Windows
HttpRequestDetect,An event that indicates a detection on an HTTP(S) request.,Windows
HttpRequest,,"Linux, macOS"
DcBluetoothDeviceProperties,This event contains properties for a connected Bluetooth device.,"macOS, Windows"
IdpCloudHealthStatus,,Windows
DiskCapacity,"An event that contains information about disks, the quantity of disks, and the storage capability of disks. The event is sent when the sensor connects, every 24 hours thereafter, and in case any change in disk parameters is detected. An event that contains information about disks, the quantity of disks, and the storage capability of disks that are locally attached to a system. The event is sent when the sensor connects, every 24 hours thereafter, and in case any change in disk parameters is detected.","Windows, Linux"
MemoryMapped,Triggers when an executable memory region is mapped.,"Linux, Falcon Container"
TlsClientHello,,"Windows, Linux, macOS"
SmtpAttachment,,Linux
SmtpCommand,,Linux
FtpCommand,,Linux
NetworkLinkConfigGetLink,,Linux
NetworkLinkConfigGetAddress,,Linux
RansomwareFileAccessPattern,Helper event for ransomware file access patterns.,Windows
AsepFileChangeScanInfo,Rollup indicating an ASEP file has been created or modified but there was no template detection on the contents.,"macOS, macOS"
BPFCommandIssued,Emitted when a process executes bpf syscall.,"Linux, Falcon Container"
FileSystemOperationBlocked,An event that indicates that a file system operation has been blocked.,"macOS, Windows"
SecureTrafficDecrypted,"An event that contains certificate info for the compromised network connection. Fields: Android, iOS","Android, iOS"
FileSystemOperationDetectInfo,Informational event for a file system operation detection.,Windows
ModuleBlockedEventWithPatternId,This event adds a potential reason for blocking (as a PatternId) to module blocking information.,"macOS, Linux, Falcon Container, Windows"
ModuleBlockedEvent,This event is sent to inform cloud about the fact that given module (identified by hash) was blocked.,"macOS, Windows, Linux, Falcon Container"
ChannelVersionRequired,This event informs the cloud information about the state of a channel on the sensor. The cloud will use this event to decide whether to send the sensor updated channel data.,"Windows, macOS, Linux, Falcon Container, Android, Kubernetes, Vmcluster, iOS"
